review_text,sentiment,cluster12,cluster_label,x,y
I have finally given up with this Application. Although it works ok on its own not being part of Outlook (calendar & mail) on my Andoid phone is a drag. If I put a To Do into my calendar I like to also add it to my to do list but having to run this as a second stand alone app is far from ideal. On my Windows phone it was integrated into Outlook as it is on the PC. Why isn't it part of Outlook?,Negative,10,Calendar integration,15.846872,7.0163646
I was expecting it to sync Google reminders also from google calender. I use them a lot. It has so much to do but since it cannot sync reminders like how it does for events. It's not what I am looking for.,Negative,10,Calendar integration,15.358279,7.1920547
Sorry way to complicated. And why would you think I want my information out on your servers? Wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary.,Negative,10,Calendar integration,15.602642,6.1292944
A frightfully creative and entertaining way getting your tasks done! 👍🏽,Positive,5,Habit tracking,14.542158,2.5108223
Terrible I'm sure I'm not the only one saying this but I'll add mine. It used to be a great app as wunderlist but is now terrible. I can only assume its intentional to force people elsewhere because there's some money to be made. An added recent quirk is it doubling any hylerlink in the notes whenever you close the keyboard ( a more insane quirk i couldn't dream up). Don't bother.,Negative,7,App stability & updates,12.235887,5.2942376
Great reminder for me! Love it,Positive,4,Reminders & notifications,13.838104,6.979896
Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.,Negative,2,General positive,10.468457,5.847914
widgets have disappeared?,Positive,11,Widget issues,11.391816,7.134636
Why Do I have to sign In again even tho I did not even log out in the first place It is very Inconvenient for a to do list,Negative,9,Sync & login issues,9.823411,4.9489217
"2nd Edited review: The app is worst for reminders since it takes many minutes to fire. Which simply means, the app is worthless. Now the customer service told me that I'm using a cheap device, when in fact it i m using a premium budget phone. Bulls**t customer service as well since they clearly can't take the blame like a real man/woman. Bunch of frauds n scammers tryna make their customer buy their failed invention. Go fu*k urself customer service! Good luck selling nud*s coz u failed it here!",Negative,4,Reminders & notifications,13.440441,7.4755554
This is a great tool with a minimalist design. One feature I would be willing to go premium for is the ability to change task orders using drag and drop in the widget. That would take this to the next level.,Positive,0,Task management,13.432322,5.6124587
"I had previous mentioned a glitch in the wedgit, it's been 5 months and was told that a team was working on the glitch. So far there has been no improvement. It's a good app without appropriate maintenance hence the bad review.",Negative,7,App stability & updates,11.274614,4.3291883
Notifications don't work,Negative,4,Reminders & notifications,12.769785,7.8109417
Good to have this as my memo,Positive,3,Ease of use,14.279958,2.6992362
Can not shut off notifications. They keep turning back on.,Negative,4,Reminders & notifications,12.813721,7.922402
"Overall i like this app, but i use it to make appointments, and it is very annoying that it won't link the name with the phone number frim the contacts automatically. You can do it manually, but it would be way quicker if it would link it automatically.",Neutral,8,General task/app praise,15.099359,5.429894
"Useless, ring bells only one time, and not a good reminder",Negative,4,Reminders & notifications,13.6798725,7.4647665
Update: Used to be great. Now they've added so many steps it's no longer the simple app it used to be. Very disappointed.,Negative,7,App stability & updates,11.448141,3.6132302
It was really good at first and I loved it. But then the app was not working properly. So I had to uninstall it.,Negative,2,General positive,11.586277,2.6062052
"I'm at awe how the tick tick guys keep managing to destroy a perfectly working app by having to redesign it every once in a while just for the sake of saying that they're keeping the app running. Now I can't delete the messages because it's almost barely visible once I push the three dots or lines on the tasks and there is no way to scroll the choices to see the delete option. Please, for the love of gods, don't work so hard to ruin a perfectly functioning software. I'd love to ask, just why?",Negative,0,Task management,12.597855,5.822412
If i purchase pro version on my one phone and after a month i changed my mobile so after that can i use my previous pro version in new mobile,Positive,1,Premium / paywall friction,9.081987,4.297634
"Best app. Works perfect but giving 4 stars due to colour settings, whenever you try to change colour of tasks there is a problem that you touch a colour and it selects other colour like touch red colour it selects blue. This problem is in all colours.",Positive,7,App stability & updates,12.400945,4.28673
its not like Loop Habits where i know i completed my habit this day. where are the statistics? give me the graphics,Negative,5,Habit tracking,15.568966,3.7733479
"Great app but why do you need 13 Ad trackers in this paid for pro app? Exodus privacy list 13 trackers against your app which is rediculous. Using this every day, but now concerned my every move is being tracked 13 times. Edit: You inform, so that makes it okay then, for you. Perhaps other more privacy focussed users should look elsewhere. How do I confirm the trackers are not used? Trust you, I bet.... 13 are for revenue, 1 will suffice for personalising.",Negative,7,App stability & updates,10.116517,3.6917813
"I have had a wonderful experience with this app. It has genuinely helped me keep track of things I need to do. It has help me gain structure in my life and I am really grateful for it. This is from a guy who doesn't even bother to use google agenda. Lol great app, good stuff and I hope they keep improving.",Positive,8,General task/app praise,13.9139185,3.8429444
To hard to sign-in. Make it easier to sign in. I wasn't able to sign in or use the app. Uninstalled.,Negative,9,Sync & login issues,9.844154,4.987634
"No way to change the font size, so most of my events just display as ""Meeting wi..."" which is basically useless. Can't even click on the event to see, I have to go to a different calendar app to see what I have to do. Which is the one thing a calendar widget should do for you.  Edit: in response to the creator's response to my comment, it IS important to keep in mind that this is a free app, with no possibility to upgrade, meaning this is not a professionally-developed app, so there should be no guarantee or expectation of quality. So if what you're looking for is a free app, then this might be a good app for you. However, if you're looking for a calendar/agenda app, then probably not.",Negative,10,Calendar integration,16.24413,6.4742074
Very good reminder,Positive,4,Reminders & notifications,13.872204,7.0838223
"It honestly saddens me to write this review. Habitica used to be an amazing app. I need it for all of my dailies and to-dos, but ever since the code was migrated, the app has been nigh unusable. At the moment I can't even login. When I finally manage to, my dailies and to-dos don't show up. It's a struggle to mark a daily as completed because it takes forever for the server to recognize that I tapped on the daily. Overall, this app needs to be reworked. I really hope things can be fixed because I want to keep using this app. Otherwise I'll have to find something else.",Negative,7,App stability & updates,12.040873,4.537981
"Decent amount of functions, and I really like the widget for this app, but the free version is too limited to be useful. I would pay money for this app if it was for sale. But I am never going to pay for a subscription to a phone app, especially not a todo list app.",Negative,8,General task/app praise,12.45927,5.1293592
The to do list should allow prioritizing tasks by importance and urgency. It would be great if you could add that.,Neutral,0,Task management,13.424519,5.494634
It it good but I couldn't do simple lists. They would be in one big catagory then in a sub list and it just wasn't the format I wanted,Neutral,3,Ease of use,13.020549,4.6047416
Works very well. Easy..practical..very good Game ads do pop up..its ok,Positive,6,Ads friction,16.572504,8.560945
Multi functional app for daily tasks routine,Positive,8,General task/app praise,14.456101,4.9411635
"Best wunderlist replacement with one major flaw. As far as a to-do list app it is pretty decent and has what you would want. It is very tricky to figure out how to disable all of the random notifications this app sends you. That is my major complaint, but once you finally get it all disabled this app is decent. The layout is a little messy, but the smart grocery grouping is nice.",Positive,8,General task/app praise,12.409636,5.472208
Very good performance 😊,Positive,3,Ease of use,12.887442,1.0639529
It is good but could be so much better with full Google Assistant integration...,Positive,8,General task/app praise,12.732555,3.6473818
My experience gas been good so far 👌👌.,Positive,3,Ease of use,12.758552,1.0258366
"So far I love it. Clear and simple to navigaye. Able to make my lists in cour coding. Also nice design, fir the creative.",Positive,3,Ease of use,13.08961,4.5573006
Nice app but would like access to a calendar without paying premium price,Neutral,10,Calendar integration,16.280584,6.970278
Whyd it log me out..... Edit: the push notifications dont push anymore,Neutral,9,Sync & login issues,12.706672,7.8091097
"best, but smtimes missing my notification, please make more reminder option, and more hard to rid it)",Positive,4,Reminders & notifications,13.300635,7.494159
I did not get any app like this 😃,Positive,2,General positive,11.325829,2.4596217
Please remove the annoying and intrusive ads!!,Negative,6,Ads friction,16.701935,8.693871
Good stuff. Finally got into learning chinese and russian,Positive,3,Ease of use,13.660336,2.0817046
"Nice up. The only problem is price. Prices are the same to first world and third world. They don't have option to poor countries only for the rich ones. They don't have even option to students. The product is good, but there's no equality. Sad.",Neutral,3,Ease of use,13.401795,2.4033003
"App is great, but there is no sound or alarm to remind you of tasks. Popup is not enough, some kind of sound/songs is needed.",Negative,4,Reminders & notifications,12.909392,8.126902
I love it but would it be possible to have a pause button in case the user diverts herself from the task by reason of bathroom breaks or any other just cause? I love it though. Thank you!,Positive,0,Task management,14.272947,4.534138
"Annoying backup system. I've had installed this app and logged in with Google account once. I also tried some of the app's features, but I uninstalled again because of reasons. After some times, I decided to install it again. So I made my tasks and the others without logging in first (because I forgot). Then, when I logged in with my Google account after that, it replace my current data with the older one without warning. Now all my newly created, more complete data is all gone.",Negative,9,Sync & login issues,9.568106,5.4954705
This app has started to give me full screen pop up ads,Negative,6,Ads friction,16.518145,8.465468
Prefer wunderlist! This is a sad adaptation and should have never replaced an app that worked so well.,Negative,7,App stability & updates,12.281007,5.4046903
"It will ruin your plan, you are going to waste your time customizing it. Downloading this app will increase your screen time and degrade your efficiency.",Negative,7,App stability & updates,11.927304,3.2673862
I like this app. It is the most simple and straight forward of its type that I've found.,Positive,2,General positive,12.164093,2.632215
Great app helps me to structure my day and not be lazy,Positive,8,General task/app praise,14.307147,4.1080327
Used this app for years but the recent addition of full screen ads is too annoying. Small banner ads or something similar would be much more appropriate for a calendar app. Why would I want to look at an ad for half a minute when it should only take 5 seconds to add an appointment?,Negative,6,Ads friction,16.54187,8.167808
Useful easy to use and fulfil my needs But i still didn't experience it's use in sharing or groups,Neutral,3,Ease of use,13.641248,2.100924
"This has many of the same features of the schedule app I already use, but is missing some key features. I see the paid version will allow me to repeat tasks but will it allow me to make drag and drop adjustments to my schedule. If so, then it would be worth the investment and a better review.",Negative,8,General task/app praise,14.8918495,5.133378
It's pretty simple and there are discussion boards where other people share their experience on similar experiences.,Positive,3,Ease of use,13.023493,1.3190625
Facebook login not working,Neutral,9,Sync & login issues,9.731967,4.9637127
Simple & effective. I've used this a lot over the past few years & found it extremely helpful. Strongly recommend.,Positive,3,Ease of use,13.597731,1.2556306
"Very nice UI, but need some work. 1) First week day (Monday/Sunday) option in Calendar; 2) Calendar should show tasks/habits below Calendar instead of when touching the selected day only (this makes you feel you have nothing the whole day/mont)... Add this and app will be more solid... And I may jump into Premium! Keep it up!",Positive,10,Calendar integration,15.201673,5.786866
"This is very good app but I have to get premium get access to work essential apps, overall very good",Positive,2,General positive,10.399165,3.4515064
"I have to add tasks daily again and again, i don't know why i have to add them again even if i have selected them to repeat daily, all else is good, appreciate the efforts",Neutral,0,Task management,13.76867,6.0047235
"Nice, exactly what I needed",Positive,3,Ease of use,13.579981,1.2742434
Mixed great app but don't by premium. Won't work without play services and developer unresponsive,Negative,1,Premium / paywall friction,9.896737,3.5522091
"Installed this app, added the tasks, logged in using google in the same order. But after login the tasks added no more found. This is definitely unacceptable.",Negative,0,Task management,12.68388,6.2498927
Great app to keep on top of life!,Positive,2,General positive,13.2857,3.3397243
The app is perfect for people trying to get more organized it's easy to use and I use it all the time for homework or workouts the only tiny problem is that it has some locked features that u have to pay for,Positive,8,General task/app praise,13.775936,3.8980684
Keeps me on track,Positive,5,Habit tracking,14.697126,3.1834471
It's good..,Neutral,3,Ease of use,12.587523,0.67696005
I think the app with a time table for sorting tasks will become more useful .,Positive,8,General task/app praise,13.961269,4.965006
"Awesome App, 1) if you could add undo feature : if we make any changes to the todo unexpectedly and press back then it saves it and we cannot find what was the original memo.",Positive,0,Task management,13.216718,5.3629994
"The app is great, but there some glitches and ways to access other apps, also there should be an option for creating a list of apps that you want open during the session, like calculator or any other useful, or the other person wants to use.",Positive,2,General positive,13.017256,3.4156628
Difficult to use,Neutral,3,Ease of use,13.505054,0.8460782
I've never enjoyed accountability before this... Our whole family partied up and is having a blast PLAYING to do chores. Wonderful concept!,Positive,5,Habit tracking,14.542104,2.8498876
I like the app. Easy to use and organize. I just wished there was a way to turn the spell check off in it. It's miserable trying to type non-European style names in it.,Positive,8,General task/app praise,12.597065,3.9899304
Really weird formatting? I'm trying to be MORE organized not get a brain workout trying to figure out an app,Negative,8,General task/app praise,13.708864,3.9619834
The notification stopped after some time,Negative,4,Reminders & notifications,12.723465,7.7985225
"I really enjoyed the app before the update. It was motivating to see different trees at one place. After the update, I can't buy the trees that I previously could:(",Neutral,7,App stability & updates,8.211,3.4059036
All my tasks are gone and unable to load anything.,Neutral,0,Task management,12.792035,6.164409
"In a word: clunky. I like the calendar integration, however everything else is basic and clunky. Simply adding a task to a list takes 3 clicks and you CANNOT SET A DATE, TIME, SUBTASKS, OR NOTES UNLESS YOU EXIT OUT OF THE TASK AND GOING BACK TO YOUR LIST. The app is designed to give you as many notifications as it can and constantly advertise the premium version. And whatever you do, DO NOT SIGN UP FOR A FREE TRIAL UNLESS YOU'RE WILLING TO SPEND AN HOUR SEARCHING FOR HOW TO DO SO.",Negative,10,Calendar integration,15.73661,6.358032
"Love the app, it's much fun, engaging, and helpful to stay focused on your goals and developing new habits. Much better than competing apps (Habitica comes to mind) even if they have better social integration. Of course one can always add new features and improve design elements, but if you are looking for a task manager look no further. This is the best on the market. Highly engaging and fun to interact with.",Positive,8,General task/app praise,13.895525,3.723732
"Love the app, but I have a question. In the options under daily tasks, we can choose between Daily or weekly, What's the difference?",Neutral,8,General task/app praise,14.8783655,5.3530087
Much better calendar then the one that came with the phone.,Positive,10,Calendar integration,16.466406,6.7116055
"I set a reminder since last week. It didn't even ring at the chime of the clock while I observed. It rang post 10min approx, that too when I accessed the app to see what's the fault. Please look into this bug.",Negative,4,Reminders & notifications,13.476327,7.735228
I love this app the trees are absolutely lovely and the restrictive mode really helps me even with the free version it's so effecient i should use it more often,Positive,2,General positive,8.172292,3.34089
timezone feature broken. the gamification was a little too complicated and too much for my needs.,Neutral,10,Calendar integration,15.077345,6.200315
Please add the option to view progress monthly / year / week,Positive,10,Calendar integration,15.521955,5.973065
Lost half its use once they got rid of seeing children categories in the widget. I use ToDoist for homework assignments and I used the parent functions for assignments to categorize what class the assignment is for. Without being able to see all my parent/sub folders from the widget it kills most of the use of the app. I went back to an old APK but then I started getting prompts that the app would stop working if I didn't update. I still use it as a grocery list with IFTTT until Keep is fixed.,Negative,11,Widget issues,11.782377,6.6538663
Great app. Helps in daily task setting and monitoring,Positive,8,General task/app praise,14.153415,4.4203525
The majority of things are blocked off by subscription.,Negative,1,Premium / paywall friction,9.692716,3.812986
This is one of the best to do lists that I have used . Even Google's to do lists pales on comparison.I was surprised to find no constant ads or a pro mode which these things usually have. The widgets are almost perfect except for the hobbies make that 1x1 but it's a really good experience overall . I recommend using it . It helps a lot gamifying ur to do list makes you more eager to do them . Thank you for a to do list that is totally free . I definitely recommend this.,Positive,0,Task management,13.09046,4.8438754
Please improve the persistent notification. When I close the app it get removed it should be there for all time.,Neutral,4,Reminders & notifications,12.653942,7.5706778
Had this app for about 2 years. I had earned almost 5000 points. I got a new phone and everything I had is gone. I have the same number and my email addresses are all synced.. but none of my earnings or unlocks are here.. I feel sort of reluctant to use it now.,Negative,7,App stability & updates,9.551668,5.096668
Everything is good but i would like to see more then a five slots for habits,Neutral,5,Habit tracking,15.57572,3.4481068
17.10.2020. Have nested multi level sub task. But not easy to add it. Have to open a task and got the menu to add one. Adding Sub task is easier in apps like My Life Organized or Dynalist. MLO dont have a web version. Dynalist dont have reminder if i am not wrong.,Neutral,0,Task management,13.364996,5.1014357
"The app is fine, especially combined with the To Do app on Windows, but what's really missing for me is having more flexibility in choosing the snooze period. One hour max is not useful. Hours, 0.5 day, 1 day are all options that I definitely could use",Neutral,8,General task/app praise,14.563827,4.9625463
Nice user experience. Would be helpful if able to sync with Gmail account,Positive,9,Sync & login issues,10.063288,6.183347
This is a very good app... just if the shopping list could be shared in watsapp would be very nice.,Positive,8,General task/app praise,12.968681,4.655278
"It takes too long to update lists. My wife and I share lists, but it takes days, sometimes as long as a week, for changes to show up on each other's lists. The Wonderlist app updated almost immediately. We miss Wonderlist!",Negative,0,Task management,12.490759,5.2172484
It's simple and easy to use but notification often doesn't work about 10 times a day.,Neutral,4,Reminders & notifications,13.01843,7.363796
"Loses task lists on Premium - Don't upgrade So annoyed. loved and recommended this app til I upgraded 2 weeks ago. Got a new phone & realised tasks weren't backed up to my GMail account (annoying). Copying the lists over wasn't easy either (annoying). Paid for the upgrade, have now lost 3 of my lists...vanished from menu. No reason, not deleted and not in deleted items. Can't find out how to sign out or cancel premium account. Use the basic option and don't change your phone!",Negative,0,Task management,9.461162,5.0725183
"Thank you so much for the app! I have a great difficulty on focusing to do stuff and this app helps me with it and even let's you choose the kind of cute plant you re going to plant, thats what motivates me the most! BUT now with the new update i can only chose what?? 6 types of plants???? You just took the most motivacional part of your app, and I even spend the whole year to get a new one in my birthday....do you guys think even about people who won't spend $50 on a fake tree??? Congrats...",Neutral,7,App stability & updates,8.16382,3.2875204
"This is the best planing app I could find on the play store. It syncs with my Google calendar enabling it to be an all inclusive planner, but also has lots of personal orginazational abilities. I am very impressed with this planner and would recommend it to anyone who likes to be very well planned.",Positive,8,General task/app praise,16.270603,5.4836087
Unable to manage easily.. complicated,Negative,0,Task management,13.557716,1.046252
Great app! It makes my family and me do specific tasks. I would give it a 5 star review but sometimes the notification doesn't pop up at all.,Positive,8,General task/app praise,12.793414,6.9916687
"Only just started using this app. Looks good but it would be great to have a calender view so that you can easily see what's coming up in the month. Edit: I will go as far as to say that I will end up deleting this app, even though I already paid for it, if there isn't a calender view added eventually.",Positive,10,Calendar integration,16.019775,6.5758524
"I really want to love this app but it won't even let me select PM so its constantly telling me its past the due date, which makes the app very useless to me.",Negative,7,App stability & updates,14.584984,6.1914573
There should be a dark mode instead of setting through a premium theme option,Negative,9,Sync & login issues,10.995455,3.7543943
All in Al its a good app but for the last couple of months the reminders aren't working. No push notifications are received. I checked all my permissions for this app and power settings but can't see anything that would prevent it from pushing notifications.. Any ideas?,Neutral,4,Reminders & notifications,12.851371,7.743019
There's no repeat task daily feature,Neutral,0,Task management,14.199696,6.1009784
Very Helpful and Reliable,Positive,3,Ease of use,13.657271,1.581193
"You asked me if I would recommend it. It's a cool app. I like the simplicity of my other calendar a little better. I know of another cool device. I call it a Lev Drive; interested? Yes, it's just theory for now.",Positive,10,Calendar integration,16.157639,6.630945
"Really buggy right now. There's no way to create a party on the app, and I can't even join one. The website can't seem to log me in and if I click on any of the links on the FAQ page, it takes me back to the homepage. Also, tasks are listed in the order which I put them and not in the order that they expire.. so I have to check each task for the date and time of expiry. Not only that, the dates are displayed weirdly.. some have dd/mm/yy format while others have mm/dd/yy. Developers have much work to do.",Negative,9,Sync & login issues,10.482348,4.7864017
Resonse (2/13/20): I know that the free version is not ad-free.  The issue that what you have done recently is to force people to watch ads instead of just clicking them away. And this happens while I'm trying to add or edit something on the calendar. Had to change from 5 to 1 star because of these pop up ads. Will be looking for a new app soon.,Negative,6,Ads friction,16.552801,8.187504
Very nice app and easy to use!,Positive,2,General positive,12.075378,2.4999394
The app is broken right now. Downloaded today to try it out and the first two slides were blank. Character creation is all blank. Unfortunately deleted but was looking forward to trying. This has been catalogued by others. When its fixed I'll try again but so far it seems that this app is only really properly supported for iPhone users. (I have a Samsung S9),Negative,7,App stability & updates,11.374685,4.509013
I paid so much......can you remove the subtask...is annoying...lagging..hang...not the best anymore...extremely dissapointed....worse and worse...please..please...do a new update...,Negative,9,Sync & login issues,12.232745,5.820345
"nothing but connection error after connection error. the concept is great, but I can't even manage to use the service because any time I try to do anything, that's all I'm getting.",Negative,9,Sync & login issues,10.408442,5.046595
I love this app. It provides me a method to avoid distraction. But ever since they locked most of the plants with a paywall I don't know about that. Now I can't buy the plants that I want without paying.But I understand they had to do this at some point ☹️☹️.,Positive,7,App stability & updates,8.428992,3.3395007
Very helpful in organizing my life,Positive,5,Habit tracking,14.588764,2.9385815
It's really confusing! Its hadd to make routines and stuff. Just over all really confusing. But over great way to track routines. I love the tag idea. Mabey you should add a default school tag?,Neutral,5,Habit tracking,14.789254,3.5007138
Haven't been using this app for long but it seems great so far. I LOVE that incompleted tasks roll over to the current day. I just wish you could attach attach photos or files to your notes. That would make this a 5-star review.,Positive,8,General task/app praise,13.69123,4.953489
I found a replacement for you now and I am very happy 😊. It's the study bunny app and has all the features which your pro version has in free . Uninstalling this app .,Negative,7,App stability & updates,9.073169,4.073989
"It would be nice to have the ability to set an xp/coins decay until a particular task is completed. Also, would be nice to be able to more easily schedule an existing infinite repitition task for a particular time (rather than editing its time and resetting it, or duplicating it). Also, maybe add search ability for filtering icons (as there are so many).",Positive,0,Task management,14.290739,5.3128977
"Nice widget, and I don't mind a few ads, but persistent ads are annoying. When I get annoyed, I tend to rather go somewhere else, than becoming a paying customer.",Negative,6,Ads friction,16.626156,8.686666
I like its simplicity,Positive,3,Ease of use,13.020773,1.2673906
I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????,Negative,1,Premium / paywall friction,9.541011,3.509412
Works really well,Positive,3,Ease of use,13.243181,1.5950016
"I just ADORE this app. It has saved my sanity on more than one occasion. Super simple to use and I love being able to color code things. And the water tracker, my goodness.",Positive,2,General positive,12.2351675,3.1089547
